facility_name,street_address,city,state,zip,phone,operator,facility_type,aor
Montgomery Processing Center,806 Hilbig Road,Conroe,TX,77301,936-756-4068,CoreCivic,Contract Detention Facility (CDF),Houston
Houston Contract Detention Facility,15850 Export Plaza Drive,Houston,TX,77032,281-449-1481,CoreCivic,Contract Detention Facility (CDF),Houston
Joe Corley Detention Facility,500 Hilbig Road,Conroe,TX,77301,936-538-2240,GEO Group,IGSA,Houston
IAH Secure Adult Detention Facility,3400 Highway 146,Livingston,TX,77351,936-967-8000,Community Education Centers,IGSA,Houston
South Texas ICE Processing Center,566 Veterans Drive,Pearsall,TX,78061,830-334-4422,GEO Group,Contract Detention Facility (CDF),San Antonio
Port Isabel Service Processing Center,27991 Buena Vista Boulevard,Los Fresnos,TX,78566,956-547-1700,ICE,Service Processing Center (SPC),San Antonio
Rio Grande Detention Center,1001 Loop 20,Laredo,TX,78043,956-728-0202,GEO Group,IGSA,San Antonio
Laredo Processing Center,4702 East Saunders,Laredo,TX,78041,956-727-3045,CoreCivic,Contract Detention Facility (CDF),San Antonio
El Valle Detention Facility,1005 West Hidalgo Avenue,Raymondville,TX,78580,956-689-4900,GEO Group,IGSA,San Antonio
South Texas Family Residential Center,300 El Rancho Way,Dilley,TX,78017,830-271-7600,CoreCivic,Family Residential Center,San Antonio
Karnes County Residential Center,409 FM 1144,Karnes City,TX,78118,830-583-4700,GEO Group,Family Residential Center,San Antonio
T. Don Hutto Residential Center,1001 Welch Street,Taylor,TX,76574,512-218-9700,CoreCivic,Contract Detention Facility (CDF),San Antonio
West Texas Detention Facility,1700 West IH-10,Sierra Blanca,TX,79851,915-369-3000,LaSalle Corrections,IGSA,El Paso
El Paso Service Processing Center,8915 Montana Avenue,El Paso,TX,79925,915-225-1900,ICE,Service Processing Center (SPC),El Paso
Bluebonnet Detention Center,300 Avenue F,Anson,TX,79501,325-823-0011,Management & Training Corp,IGSA,Dallas
Prairieland Detention Facility,1209 Sunflower Lane,Alvarado,TX,76009,817-783-7700,LaSalle Corrections,IGSA,Dallas
Limestone County Detention Center,1100 East Milam Street,Groesbeck,TX,76642,254-729-0156,Management & Training Corp,IGSA,Dallas
LaSalle ICE Processing Center,830 Pine Hill Road,Jena,LA,71342,318-992-7670,GEO Group,Contract Detention Facility (CDF),New Orleans
Pine Prairie ICE Processing Center,1133 Hampton Dupre Road,Pine Prairie,LA,70576,337-599-2700,GEO Group,Contract Detention Facility (CDF),New Orleans
Winn Correctional Center,1318 Winnfield Bypass,Winnfield,LA,71483,318-628-3974,LaSalle Corrections,IGSA,New Orleans
Allen Parish Public Safety Complex,7340 Highway 26,Oberlin,LA,70655,337-639-2393,Allen Parish,IGSA,New Orleans
Richwood Correctional Center,180 Old Richwood Road,Monroe,LA,71202,318-388-7790,LaSalle Corrections,IGSA,New Orleans
South Louisiana ICE Processing Center,3843 Stagg Avenue,Basile,LA,70515,337-432-5197,GEO Group,Contract Detention Facility (CDF),New Orleans
River Correctional Center,968 Highway 568,Ferriday,LA,71334,318-757-9020,LaSalle Corrections,IGSA,New Orleans
